Tiempo,Ch1,Ch2
0.0,-0.4,-0.8
0.055,0.0,-1.2
0.11,0.0,-1.2
0.165,0.4,-1.2
0.22,0.8,-0.8
0.275,0.8,-0.4
0.33,0.8,-0.4
0.385,1.2,0.0
0.44,2.0,0.0
0.495,2.0,0.4
0.55,2.4,0.8
0.605,2.8,0.8
0.66,2.8,1.6
0.715,3.6,1.6
0.77,3.6,2.0
0.8250000000000001,4.0,2.4
0.88,4.4,2.4
0.935,4.4,2.8
0.99,4.8,2.8
1.045,5.2,3.2
1.1,5.2,3.6
1.155,5.6,4.0
1.21,6.0,4.4
1.2650000000000001,6.4,4.0
1.32,6.4,4.4
1.375,6.8,4.8
1.43,6.8,5.2
1.485,6.8,5.6
1.54,7.2,5.6
1.595,8.0,5.6
1.6500000000000001,8.0,6.0
1.705,8.0,6.0
1.76,8.4,6.4
1.815,8.8,6.4
1.87,8.8,6.8
1.925,9.2,6.8
1.98,8.8,7.2
2.035,9.6,7.6
2.09,9.6,8.0
2.145,10.4,8.4
2.2,10.4,8.4
2.255,10.4,8.8
2.31,10.8,8.8
2.365,11.2,8.8
2.42,10.8,9.2
2.475,11.2,9.6
2.5300000000000002,11.6,10.0
2.585,12.0,10.0
2.64,12.4,10.0
2.695,12.4,10.4
2.75,12.4,10.4
2.805,13.2,10.8
2.86,13.2,11.2
2.915,12.8,11.2
2.97,13.2,11.6
3.025,13.6,11.6
3.08,13.6,11.6
3.1350000000000002,13.6,12.4
3.19,14.0,12.0
3.245,14.4,12.4
3.3000000000000003,14.4,12.4
3.355,14.4,12.8
3.41,14.4,12.8
3.465,14.8,12.8
3.52,14.8,13.2
3.575,14.8,13.2
3.63,15.2,13.6
3.685,15.2,13.2
3.74,15.2,13.6
3.795,15.2,13.2
3.85,15.2,14.0
3.9050000000000002,15.6,13.6
3.96,15.6,14.0
4.015,15.6,14.0
4.07,15.6,13.6
4.125,15.6,14.0
4.18,15.6,14.0
4.235,15.2,14.0
4.29,15.6,13.6
4.345,15.6,14.0
4.4,16.0,14.0
4.455,16.0,14.4
4.51,15.6,14.4
4.565,16.0,14.4
4.62,16.4,14.4
4.675,16.4,14.8
4.73,16.0,14.8
4.785,16.0,14.4
4.84,16.0,14.4
4.8950000000000005,16.0,14.4
4.95,16.4,14.4
5.005,16.0,14.8
5.0600000000000005,16.4,14.4
5.115,16.0,14.8
5.17,16.0,14.8
5.2250000000000005,16.4,14.8
5.28,16.4,14.8
5.335,16.4,14.8
5.39,16.0,14.8
5.445,16.0,14.8
5.5,16.0,14.8
5.555,16.0,14.8
5.61,16.0,14.4
5.665,16.0,14.8
5.72,16.0,14.8
5.775,16.0,14.8
5.83,16.0,14.8
5.885,16.0,14.8
5.94,16.0,14.4
5.995,15.6,14.4
6.05,15.2,14.4
6.105,15.6,14.0
6.16,15.2,14.0
6.215,15.2,14.0
6.2700000000000005,15.2,14.0
6.325,14.8,13.6
6.38,14.8,13.6
6.4350000000000005,14.4,13.6
6.49,14.4,13.2
6.545,14.4,12.8
6.6000000000000005,14.0,13.2
6.655,14.4,12.8
6.71,14.0,12.8
6.765000000000001,13.6,12.8
6.82,14.0,12.8
6.875,13.6,12.8
6.93,13.6,12.4
6.985,13.2,12.4
7.04,13.2,12.0
7.095,12.8,12.0
7.15,13.2,12.0
7.205,12.4,11.6
7.26,12.4,11.6
7.315,12.0,11.2
7.37,12.4,10.8
7.425,12.0,10.8
7.48,11.2,10.8
7.535,11.6,10.4
7.59,11.6,10.0
7.6450000000000005,11.2,10.0
7.7,10.8,10.0
7.755,10.8,10.0
7.8100000000000005,10.4,9.6
7.865,10.0,9.6
