Tiempo,Ch1
0.0,13.4
0.021500000000000002,13.4
0.043000000000000003,13.3
0.0645,13.4
0.08600000000000001,13.2
0.1075,13.2
0.129,13.1
0.1505,13.1
0.17200000000000001,13.0
0.1935,12.9
0.215,13.0
0.23650000000000002,12.7
0.258,12.7
0.2795,12.6
0.301,12.6
0.3225,12.6
0.34400000000000003,12.4
0.3655,12.4
0.387,12.3
0.40850000000000003,12.2
0.43,12.2
0.4515,12.1
0.47300000000000003,12.0
0.4945,12.0
0.516,11.8
0.5375,11.8
0.559,11.8
0.5805,11.7
0.602,11.7
0.6235,11.6
0.645,11.5
0.6665,11.4
0.6880000000000001,11.4
0.7095,11.4
0.731,11.3
0.7525000000000001,11.2
0.774,11.0
0.7955,11.0
0.8170000000000001,11.0
0.8385,10.9
0.86,10.9
0.8815000000000001,10.8
0.903,10.6
0.9245,10.6
0.9460000000000001,10.6
0.9675,10.5
0.989,10.4
1.0105,10.3
1.032,10.2
1.0535,10.2
1.075,10.1
1.0965,10.0
1.118,9.92
1.1395,9.84
1.161,9.68
1.1825,9.6
1.204,9.52
1.2255,9.44
1.247,9.28
1.2685,9.2
1.29,9.12
1.3115,8.96
1.333,8.96
1.3545,8.88
1.3760000000000001,8.72
1.3975,8.64
1.419,8.56
1.4405000000000001,8.4
1.462,8.32
1.4835,8.24
1.5050000000000001,8.08
1.5265,8.0
1.548,7.92
1.5695000000000001,7.76
1.591,7.68
1.6125,7.6
1.6340000000000001,7.44
1.6555,7.36
1.677,7.28
1.6985000000000001,7.2
1.72,7.04
1.7415,6.96
1.7630000000000001,6.88
1.7845,6.72
1.806,6.64
1.8275000000000001,6.64
1.849,6.64
1.8705,6.56
1.8920000000000001,6.56
1.9135,6.56
1.935,6.4
1.9565000000000001,6.16
1.978,6.0
1.9995,5.84
2.021,5.76
2.0425,5.6
2.064,5.36
2.0855,5.2
2.107,5.04
2.1285,4.88
2.15,4.64
2.1715,4.56
2.193,4.4
2.2145,4.24
2.236,4.24
2.2575,4.08
2.279,3.92
2.3005,3.84
2.322,3.76
2.3435,3.76
2.365,3.6
2.3865,3.52
2.408,3.52
2.4295,3.36
2.451,3.28
2.4725,3.2
2.494,3.04
2.5155,2.96
2.537,2.88
2.5585,2.72
2.58,2.56
2.6015,2.48
2.623,2.32
2.6445,2.16
2.666,2.08
2.6875,1.92
2.709,1.84
2.7305,1.76
2.7520000000000002,1.6
2.7735,1.6
2.795,1.44
2.8165,1.28
2.838,1.2
2.8595,1.2
2.8810000000000002,1.12
2.9025,0.88
2.924,0.8
2.9455,0.72
2.967,0.56
2.9885,0.56
3.0100000000000002,0.4
3.0315,0.24
3.053,0.16
3.0745,0.0
3.096,-0.08
3.1175,-0.08
3.1390000000000002,-0.08
3.1605,-0.16
3.182,-0.08
3.2035,-0.08
3.225,-0.08
3.2465,-0.08
3.2680000000000002,-0.08
3.2895,-0.16
3.311,-0.08
3.3325,-0.08
3.354,-0.16
3.3755,-0.08
3.3970000000000002,-0.16
3.4185,-0.16
3.44,-0.08
3.4615,-0.16
3.483,-0.16
3.5045,-0.08
3.5260000000000002,-0.08
3.5475,0.08
3.569,0.16
3.5905,0.24
3.612,0.24
3.6335,0.4
3.6550000000000002,0.48
3.6765,0.56
3.698,0.64
3.7195,0.8
3.741,0.88
3.7625,1.04
3.7840000000000003,1.12
3.8055,1.2
3.827,1.28
3.8485,1.36
3.87,1.52
3.8915,1.6
3.9130000000000003,1.76
3.9345,1.92
3.956,2.0
3.9775,2.08
3.999,2.24
4.0205,2.24
4.042,2.4
4.0635,2.56
4.085,2.64
4.1065000000000005,2.8
4.128,2.88
4.1495,2.96
4.171,3.04
4.1925,3.2
4.214,3.28
4.2355,3.36
4.257,3.52
4.2785,3.52
4.3,3.68
4.3215,3.84
4.343,3.92
4.3645000000000005,3.92
4.386,4.08
4.4075,4.16
4.429,4.24
4.4505,4.32
4.472,4.4
4.4935,4.48
4.515,4.56
4.5365,4.72
4.558,4.8
4.5795,4.88
4.601,5.04
4.6225000000000005,5.04
4.644,5.2
4.6655,5.28
4.687,5.44
4.7085,5.52
4.73,5.68
4.7515,5.68
4.773,5.84
4.7945,5.84
4.816,6.0
4.8375,6.16
4.859,6.24
4.8805000000000005,6.32
4.902,6.4
4.9235,6.56
4.945,6.64
4.9665,6.72
4.988,6.8
5.0095,6.96
5.031,6.96
5.0525,7.04
5.074,7.12
5.0955,7.2
5.117,7.36
5.1385000000000005,7.28
5.16,7.36
5.1815,7.36
5.203,7.44
5.2245,7.6
5.246,7.6
5.2675,7.76
5.289,7.92
5.3105,8.08
5.332,8.16
5.3535,8.32
5.375,8.48
5.3965000000000005,8.64
5.418,8.64
5.4395,8.8
5.461,8.8
5.4825,9.04
5.5040000000000004,9.12
5.5255,9.2
5.547,9.28
5.5685,9.36
5.59,9.36
5.6115,9.52
5.633,9.6
5.6545000000000005,9.68
5.676,9.84
5.6975,9.92
5.719,10.0
5.7405,10.0
5.7620000000000005,10.2
5.7835,10.2
5.805,10.3
5.8265,10.3
5.848,10.5
5.8695,10.5
5.891,10.6
5.9125000000000005,10.8
5.934,10.9
5.9555,11.0
5.977,11.0
5.9985,11.1
6.0200000000000005,11.1
6.0415,11.2
6.063,11.4
6.0845,11.4
6.106,11.4
6.1275,11.6
6.149,11.7
6.1705000000000005,11.8
6.192,11.8
6.2135,11.9
6.235,12.0
6.2565,12.2
6.2780000000000005,12.2
6.2995,12.4
6.321,12.4
6.3425,12.5
6.364,12.5
6.3855,12.6
6.407,12.6
6.4285000000000005,12.7
6.45,12.7
6.4715,12.8
6.493,12.8
6.5145,12.9
6.5360000000000005,12.9
6.5575,13.0
6.579,13.0
6.6005,13.0
6.622,13.0
6.6435,13.2
6.665,13.2
6.6865000000000006,13.3
