Tiempo,Ch1
0.0,13.5
0.021500000000000002,13.4
0.043000000000000003,13.4
0.0645,13.4
0.08600000000000001,13.4
0.1075,13.4
0.129,13.3
0.1505,13.3
0.17200000000000001,13.2
0.1935,13.2
0.215,13.2
0.23650000000000002,13.1
0.258,13.1
0.2795,13.0
0.301,13.0
0.3225,13.0
0.34400000000000003,13.0
0.3655,13.0
0.387,13.0
0.40850000000000003,13.0
0.43,13.0
0.4515,12.9
0.47300000000000003,12.9
0.4945,12.9
0.516,12.8
0.5375,12.7
0.559,12.6
0.5805,12.7
0.602,12.6
0.6235,12.6
0.645,12.5
0.6665,12.6
0.6880000000000001,12.5
0.7095,12.4
0.731,12.5
0.7525000000000001,12.4
0.774,12.5
0.7955,12.4
0.8170000000000001,12.3
0.8385,12.3
0.86,12.3
0.8815000000000001,12.3
0.903,12.2
0.9245,12.2
0.9460000000000001,12.2
0.9675,12.2
0.989,12.2
1.0105,12.1
1.032,12.1
1.0535,12.1
1.075,12.0
1.0965,12.0
1.118,11.9
1.1395,12.0
1.161,11.9
1.1825,11.8
1.204,11.8
1.2255,11.8
1.247,11.8
1.2685,11.8
1.29,11.8
1.3115,11.8
1.333,11.7
1.3545,11.7
1.3760000000000001,11.6
1.3975,11.7
1.419,11.6
1.4405000000000001,11.5
1.462,11.4
1.4835,11.5
1.5050000000000001,11.4
1.5265,11.4
1.548,11.4
1.5695000000000001,11.4
1.591,11.4
1.6125,11.4
1.6340000000000001,11.4
1.6555,11.4
1.677,11.4
1.6985000000000001,11.3
1.72,11.3
1.7415,11.2
1.7630000000000001,11.2
1.7845,11.1
1.806,11.2
1.8275000000000001,11.1
1.849,11.0
1.8705,11.0
1.8920000000000001,11.0
1.9135,11.0
1.935,11.0
1.9565000000000001,11.0
1.978,11.0
1.9995,11.0
2.021,11.0
2.0425,10.9
2.064,10.8
2.0855,10.9
2.107,10.8
2.1285,10.8
2.15,10.8
2.1715,10.7
2.193,10.7
2.2145,10.6
2.236,10.6
2.2575,10.6
2.279,10.6
2.3005,10.6
2.322,10.6
2.3435,10.6
2.365,10.5
2.3865,10.5
2.408,10.5
2.4295,10.4
2.451,10.4
2.4725,10.4
2.494,10.4
2.5155,10.4
2.537,10.4
2.5585,10.4
2.58,10.3
2.6015,10.3
2.623,10.2
2.6445,10.3
2.666,10.2
2.6875,10.2
2.709,10.2
2.7305,10.2
2.7520000000000002,10.2
2.7735,10.0
2.795,10.1
2.8165,10.1
2.838,10.1
2.8595,10.1
2.8810000000000002,10.0
2.9025,9.92
2.924,9.92
2.9455,9.92
2.967,9.84
2.9885,9.92
3.0100000000000002,9.84
3.0315,9.84
3.053,9.84
