Tiempo,Ch1
0.0,13.4
0.021500000000000002,13.4
0.043000000000000003,13.4
0.0645,13.4
0.08600000000000001,13.4
0.1075,13.4
0.129,13.4
0.1505,13.4
0.17200000000000001,13.3
0.1935,13.3
0.215,13.3
0.23650000000000002,13.2
0.258,13.2
0.2795,13.3
0.301,13.2
0.3225,13.2
0.34400000000000003,13.2
0.3655,13.2
0.387,13.1
0.40850000000000003,13.1
0.43,13.1
0.4515,13.1
0.47300000000000003,13.1
0.4945,13.1
0.516,13.0
0.5375,13.0
0.559,13.0
0.5805,13.0
0.602,13.0
0.6235,13.0
0.645,13.0
0.6665,13.0
0.6880000000000001,13.0
0.7095,13.0
0.731,13.0
0.7525000000000001,13.0
0.774,13.0
0.7955,13.0
0.8170000000000001,12.9
0.8385,12.9
0.86,12.9
0.8815000000000001,12.8
0.903,12.8
0.9245,12.8
0.9460000000000001,12.8
0.9675,12.8
0.989,12.8
1.0105,12.8
1.032,12.7
1.0535,12.7
1.075,12.7
1.0965,12.6
1.118,12.6
1.1395,12.7
1.161,12.6
1.1825,12.6
1.204,12.6
1.2255,12.6
1.247,12.6
1.2685,12.6
1.29,12.6
1.3115,12.5
1.333,12.6
1.3545,12.6
1.3760000000000001,12.5
1.3975,12.5
1.419,12.5
1.4405000000000001,12.5
1.462,12.4
1.4835,12.4
1.5050000000000001,12.5
1.5265,12.5
1.548,12.5
1.5695000000000001,12.4
1.591,12.3
1.6125,12.4
1.6340000000000001,12.3
1.6555,12.3
1.677,12.3
1.6985000000000001,12.3
1.72,12.3
1.7415,12.3
1.7630000000000001,12.3
1.7845,12.2
1.806,12.2
1.8275000000000001,12.2
1.849,12.2
1.8705,12.2
1.8920000000000001,12.2
1.9135,12.2
1.935,12.2
1.9565000000000001,12.2
1.978,12.2
1.9995,12.2
2.021,12.2
2.0425,12.2
2.064,12.1
2.0855,12.1
2.107,12.1
2.1285,12.1
2.15,12.0
2.1715,12.0
2.193,12.0
2.2145,12.0
2.236,12.0
2.2575,12.0
2.279,11.9
2.3005,11.9
2.322,12.0
2.3435,11.9
2.365,11.9
2.3865,11.9
2.408,11.9
2.4295,11.9
2.451,11.9
2.4725,11.8
2.494,11.8
2.5155,11.9
2.537,11.8
2.5585,11.8
2.58,11.8
2.6015,11.8
2.623,11.8
2.6445,11.8
2.666,11.8
2.6875,11.8
2.709,11.8
2.7305,11.8
2.7520000000000002,11.7
2.7735,11.8
2.795,11.8
2.8165,11.6
2.838,11.6
2.8595,11.6
2.8810000000000002,11.7
2.9025,11.6
2.924,11.6
2.9455,11.6
2.967,11.6
2.9885,11.6
3.0100000000000002,11.5
3.0315,11.5
3.053,11.6
3.0745,11.5
3.096,11.5
3.1175,11.5
3.1390000000000002,11.4
3.1605,11.4
3.182,11.4
3.2035,11.4
3.225,11.4
3.2465,11.4
3.2680000000000002,11.4
3.2895,11.4
3.311,11.4
3.3325,11.4
3.354,11.4
3.3755,11.4
3.3970000000000002,11.3
3.4185,11.4
3.44,11.4
3.4615,11.4
3.483,11.3
3.5045,11.3
3.5260000000000002,11.3
3.5475,11.4
3.569,11.3
3.5905,11.2
3.612,11.2
3.6335,11.2
3.6550000000000002,11.2
3.6765,11.3
3.698,11.2
3.7195,11.2
3.741,11.2
3.7625,11.1
3.7840000000000003,11.1
3.8055,11.1
3.827,11.1
3.8485,11.1
3.87,11.0
3.8915,11.0
3.9130000000000003,11.0
3.9345,11.0
3.956,11.0
3.9775,11.0
3.999,11.0
4.0205,11.0
4.042,11.0
4.0635,11.0
4.085,11.0
4.1065000000000005,11.0
4.128,11.0
4.1495,11.0
4.171,11.0
4.1925,11.0
4.214,10.9
4.2355,10.8
4.257,10.9
4.2785,10.9
4.3,10.9
4.3215,10.8
4.343,10.9
4.3645000000000005,10.9
4.386,10.8
4.4075,10.9
4.429,10.8
4.4505,10.7
4.472,10.8
4.4935,10.8
4.515,10.7
4.5365,10.6
4.558,10.7
4.5795,10.7
4.601,10.7
4.6225000000000005,10.8
4.644,10.7
4.6655,10.7
4.687,10.7
4.7085,10.8
4.73,10.7
4.7515,10.8
4.773,10.8
4.7945,10.8
4.816,10.8
4.8375,10.9
4.859,10.9
4.8805000000000005,10.9
4.902,10.9
4.9235,11.0
4.945,11.0
4.9665,11.0
4.988,11.0
5.0095,11.0
5.031,11.0
5.0525,11.0
5.074,11.0
5.0955,11.0
5.117,11.1
5.1385000000000005,11.2
5.16,11.2
5.1815,11.3
5.203,11.3
5.2245,11.3
5.246,11.3
5.2675,11.4
5.289,11.4
5.3105,11.4
5.332,11.4
5.3535,11.4
5.375,11.5
5.3965000000000005,11.6
5.418,11.5
5.4395,11.6
5.461,11.7
5.4825,11.6
5.5040000000000004,11.6
5.5255,11.7
5.547,11.7
5.5685,11.8
5.59,11.8
5.6115,11.9
5.633,11.9
5.6545000000000005,11.9
5.676,11.9
5.6975,12.0
5.719,12.0
5.7405,12.1
5.7620000000000005,12.2
5.7835,12.2
5.805,12.1
5.8265,12.2
5.848,12.2
5.8695,12.2
5.891,12.3
5.9125000000000005,12.3
5.934,12.3
5.9555,12.5
5.977,12.4
5.9985,12.5
6.0200000000000005,12.5
6.0415,12.6
6.063,12.6
6.0845,12.6
6.106,12.6
6.1275,12.7
6.149,12.6
6.1705000000000005,12.7
6.192,12.8
6.2135,12.8
6.235,12.9
6.2565,12.9
6.2780000000000005,12.9
6.2995,12.9
6.321,13.0
6.3425,13.0
6.364,13.0
6.3855,13.0
6.407,13.0
6.4285000000000005,13.1
6.45,13.1
6.4715,13.2
6.493,13.2
6.5145,13.2
6.5360000000000005,13.2
6.5575,13.3
6.579,13.4
6.6005,13.4
6.622,13.4
6.6435,13.4
6.665,13.4
6.6865000000000006,13.4
6.708,13.5
6.7295,13.5
6.751,13.5
