Tiempo,Ch1
0.0,13.0
0.021500000000000002,13.0
0.043000000000000003,13.0
0.0645,13.0
0.08600000000000001,13.0
0.1075,13.0
0.129,13.0
0.1505,13.0
0.17200000000000001,13.0
0.1935,13.0
0.215,13.0
0.23650000000000002,13.0
0.258,13.0
0.2795,13.0
0.301,13.0
0.3225,13.0
0.34400000000000003,13.0
0.3655,13.0
0.387,13.0
0.40850000000000003,12.9
0.43,13.0
0.4515,13.0
0.47300000000000003,13.0
0.4945,13.0
0.516,13.0
0.5375,13.0
0.559,13.0
0.5805,13.0
0.602,13.0
0.6235,13.0
0.645,13.0
0.6665,13.0
0.6880000000000001,13.0
0.7095,13.0
0.731,13.0
0.7525000000000001,13.0
0.774,13.0
0.7955,13.0
0.8170000000000001,13.0
0.8385,13.0
0.86,13.0
0.8815000000000001,13.0
0.903,13.0
0.9245,13.0
0.9460000000000001,13.0
0.9675,13.0
0.989,13.0
1.0105,13.0
1.032,13.0
1.0535,13.0
1.075,13.0
1.0965,13.0
1.118,13.0
1.1395,13.0
1.161,13.0
1.1825,13.0
1.204,13.0
1.2255,13.0
1.247,13.0
1.2685,13.0
1.29,13.0
1.3115,13.0
1.333,13.0
1.3545,13.0
1.3760000000000001,13.0
1.3975,13.0
1.419,13.1
1.4405000000000001,13.1
1.462,13.1
1.4835,13.0
1.5050000000000001,13.1
1.5265,13.0
1.548,13.1
1.5695000000000001,13.1
1.591,13.1
1.6125,13.1
1.6340000000000001,13.0
1.6555,13.0
1.677,13.2
1.6985000000000001,13.1
1.72,13.2
1.7415,13.1
1.7630000000000001,13.1
1.7845,13.2
1.806,13.1
1.8275000000000001,13.1
1.849,13.2
1.8705,13.1
1.8920000000000001,13.2
1.9135,13.2
1.935,13.2
1.9565000000000001,13.2
1.978,13.2
1.9995,13.2
2.021,13.2
2.0425,13.2
2.064,13.2
2.0855,13.2
2.107,13.3
2.1285,13.2
2.15,13.3
2.1715,13.2
2.193,13.2
2.2145,13.3
2.236,13.2
2.2575,13.2
2.279,13.3
2.3005,13.2
2.322,13.3
2.3435,13.3
2.365,13.3
2.3865,13.3
2.408,13.2
2.4295,13.3
2.451,13.3
2.4725,13.3
2.494,13.3
2.5155,13.3
2.537,13.3
2.5585,13.3
2.58,13.4
2.6015,13.3
2.623,13.3
2.6445,13.3
2.666,13.4
2.6875,13.3
2.709,13.4
2.7305,13.4
2.7520000000000002,13.3
2.7735,13.3
2.795,13.3
2.8165,13.4
2.838,13.4
2.8595,13.4
2.8810000000000002,13.4
2.9025,13.4
2.924,13.4
2.9455,13.4
2.967,13.4
2.9885,13.4
3.0100000000000002,13.4
3.0315,13.4
3.053,13.4
3.0745,13.4
3.096,13.4
3.1175,13.4
3.1390000000000002,13.4
3.1605,13.4
3.182,13.4
3.2035,13.4
3.225,13.4
3.2465,13.4
3.2680000000000002,13.4
3.2895,13.3
3.311,13.4
3.3325,13.4
3.354,13.4
3.3755,13.4
3.3970000000000002,13.4
3.4185,13.4
3.44,13.4
3.4615,13.4
3.483,13.4
3.5045,13.4
3.5260000000000002,13.4
3.5475,13.4
3.569,13.4
3.5905,13.4
3.612,13.4
3.6335,13.5
3.6550000000000002,13.4
3.6765,13.4
3.698,13.4
3.7195,13.4
3.741,13.4
3.7625,13.4
3.7840000000000003,13.4
3.8055,13.4
3.827,13.4
3.8485,13.4
3.87,13.4
3.8915,13.4
3.9130000000000003,13.4
3.9345,13.4
3.956,13.4
3.9775,13.4
3.999,13.4
4.0205,13.4
4.042,13.4
4.0635,13.4
4.085,13.4
4.1065000000000005,13.4
4.128,13.4
4.1495,13.4
4.171,13.4
4.1925,13.4
4.214,13.4
4.2355,13.4
4.257,13.4
4.2785,13.4
4.3,13.4
4.3215,13.4
4.343,13.4
4.3645000000000005,13.4
4.386,13.3
4.4075,13.4
4.429,13.3
4.4505,13.3
4.472,13.4
4.4935,13.4
4.515,13.4
4.5365,13.3
4.558,13.3
4.5795,13.3
4.601,13.3
4.6225000000000005,13.3
4.644,13.3
4.6655,13.3
4.687,13.3
4.7085,13.4
4.73,13.3
4.7515,13.3
4.773,13.3
4.7945,13.4
4.816,13.4
4.8375,13.3
4.859,13.3
4.8805000000000005,13.4
4.902,13.4
4.9235,13.3
4.945,13.3
4.9665,13.3
4.988,13.3
5.0095,13.3
5.031,13.3
5.0525,13.3
5.074,13.3
5.0955,13.3
5.117,13.3
5.1385000000000005,13.3
5.16,13.3
5.1815,13.3
5.203,13.3
5.2245,13.3
5.246,13.3
5.2675,13.2
5.289,13.3
5.3105,13.3
5.332,13.3
5.3535,13.3
5.375,13.3
5.3965000000000005,13.2
5.418,13.3
5.4395,13.3
5.461,13.3
5.4825,13.3
5.5040000000000004,13.3
5.5255,13.3
5.547,13.2
5.5685,13.3
5.59,13.3
5.6115,13.2
5.633,13.3
5.6545000000000005,13.3
5.676,13.2
5.6975,13.2
5.719,13.3
5.7405,13.2
5.7620000000000005,13.3
5.7835,13.2
5.805,13.2
5.8265,13.3
5.848,13.4
5.8695,13.3
5.891,13.3
5.9125000000000005,13.2
5.934,13.2
5.9555,13.2
5.977,13.2
5.9985,13.2
6.0200000000000005,13.3
6.0415,13.2
6.063,13.2
6.0845,13.2
6.106,13.2
6.1275,13.2
6.149,13.2
6.1705000000000005,13.2
6.192,13.2
6.2135,13.2
6.235,13.2
6.2565,13.2
6.2780000000000005,13.2
6.2995,13.3
6.321,13.2
6.3425,13.2
6.364,13.2
6.3855,13.2
6.407,13.2
6.4285000000000005,13.2
6.45,13.2
6.4715,13.2
6.493,13.2
6.5145,13.2
6.5360000000000005,13.2
6.5575,13.1
6.579,13.2
6.6005,13.2
6.622,13.2
6.6435,13.2
6.665,13.2
6.6865000000000006,13.2
6.708,13.3
6.7295,13.2
6.751,13.2
6.7725,13.2
6.7940000000000005,13.1
6.8155,13.2
6.837,13.2
6.8585,13.1
6.88,13.2
6.9015,13.1
6.923,13.1
6.944500000000001,13.1
6.966,13.1
6.9875,13.2
7.009,13.1
7.0305,13.2
7.0520000000000005,13.1
7.0735,13.1
7.095,13.1
7.1165,13.1
7.138,13.2
7.1595,13.1
7.181,13.2
7.202500000000001,13.2
7.224,13.1
7.2455,13.1
7.267,13.1
7.2885,13.1
7.3100000000000005,13.1
7.3315,13.1
7.353,13.1
7.3745,13.1
7.396,13.1
7.4175,13.1
7.439,13.1
7.460500000000001,13.2
7.482,13.1
7.5035,13.1
7.525,13.1
7.5465,13.0
7.5680000000000005,13.1
7.5895,13.0
7.611,13.0
7.6325,13.0
7.654,13.1
7.6755,13.1
7.697,13.0
7.718500000000001,13.1
7.74,13.1
7.7615,13.1
7.783,13.1
7.8045,13.0
7.8260000000000005,13.1
7.8475,13.1
7.869,13.0
7.8905,13.1
7.912,13.0
7.9335,13.0
7.955,13.1
7.976500000000001,13.0
7.998,13.1
8.0195,13.0
8.041,13.1
8.0625,13.0
8.084,13.1
8.105500000000001,13.0
8.127,13.1
8.1485,13.0
8.17,13.1
8.1915,13.1
8.213000000000001,13.1
8.2345,13.1
8.256,13.0
8.2775,13.0
8.299,13.0
8.320500000000001,13.1
8.342,13.0
8.3635,13.0
8.385,13.1
8.4065,13.0
8.428,13.0
8.4495,13.0
8.471,13.0
8.4925,13.0
8.514,13.0
8.5355,13.0
8.557,13.0
8.5785,13.0
8.6,13.0
8.621500000000001,13.0
8.643,13.0
8.6645,13.0
8.686,13.0
8.7075,13.0
8.729000000000001,13.0
8.7505,13.0
8.772,13.0
8.7935,13.0
8.815,13.0
8.836500000000001,13.0
8.858,13.0
8.8795,13.0
8.901,13.0
8.9225,13.0
8.944,13.0
8.9655,13.0
8.987,13.0
9.0085,13.0
9.03,13.0
9.0515,13.0
9.073,13.0
9.0945,13.0
9.116,13.0
9.137500000000001,13.0
9.159,13.0
9.1805,13.0
9.202,13.0
9.2235,13.0
9.245000000000001,13.0
9.2665,13.0
9.288,13.0
9.3095,13.0
9.331,13.0
9.352500000000001,13.0
9.374,13.0
9.3955,13.0
9.417,13.0
9.4385,13.0
9.46,13.0
9.4815,13.0
9.503,13.0
9.5245,13.0
9.546,13.0
9.5675,13.0
9.589,13.0
9.6105,13.0
9.632,13.0
9.653500000000001,13.0
9.675,13.0
9.6965,13.0
9.718,13.0
9.7395,13.0
9.761000000000001,13.0
9.7825,13.0
9.804,13.0
9.8255,13.0
9.847,13.0
9.868500000000001,13.0
9.89,13.0
9.9115,13.0
9.933,13.0
9.9545,13.0
9.976,13.0
9.9975,13.0
10.019,13.0
10.0405,13.0
10.062,13.0
10.0835,13.0
10.105,13.0
10.1265,13.0
10.148,13.0
10.169500000000001,12.9
10.191,13.0
10.2125,13.0
10.234,13.0
10.2555,13.0
10.277000000000001,13.0
10.2985,13.0
10.32,13.0
10.3415,13.0
10.363,13.0
10.384500000000001,12.9
10.406,13.0
10.4275,13.0
10.449,13.0
10.4705,13.0
10.492,13.0
10.5135,13.0
10.535,13.0
10.5565,13.0
10.578,13.0
10.5995,13.0
10.621,13.0
10.6425,13.0
10.664,13.0
10.685500000000001,13.0
10.707,13.0
10.7285,13.0
10.75,13.0
10.7715,13.0
10.793000000000001,13.0
10.8145,13.0
10.836,13.0
10.8575,13.0
10.879,13.0
10.900500000000001,13.0
10.922,13.0
10.9435,13.0
10.965,13.0
10.9865,13.0
11.008000000000001,13.0
11.0295,13.0
11.051,13.0
11.0725,13.0
11.094,13.0
11.1155,13.0
11.137,13.0
11.1585,13.0
11.18,13.0
11.2015,13.1
11.223,13.0
11.2445,13.0
11.266,13.0
11.2875,13.0
11.309000000000001,13.0
11.3305,13.0
11.352,13.0
11.3735,13.0
11.395,13.1
11.416500000000001,13.0
11.438,13.1
11.4595,13.1
11.481,13.1
11.5025,13.0
11.524000000000001,13.1
11.5455,13.1
