Tiempo,Ch1
0.0,-0.16
0.05375,-0.12
0.1075,-0.12
0.16125,-0.08
0.215,-0.08
0.26875,-0.08
0.3225,-0.08
0.37625000000000003,-0.08
0.43,-0.08
0.48375,-0.08
0.5375,-0.08
0.59125,-0.12
0.645,-0.08
0.69875,-0.12
0.7525000000000001,-0.08
0.80625,-0.08
0.86,-0.12
0.9137500000000001,-0.08
0.9675,-0.12
1.02125,-0.08
1.075,-0.12
1.12875,-0.08
1.1825,-0.08
1.23625,-0.08
1.29,-0.12
1.34375,-0.08
1.3975,-0.08
1.45125,-0.08
1.5050000000000001,-0.08
1.55875,-0.08
1.6125,-0.08
1.66625,-0.12
1.72,-0.12
1.77375,-0.08
1.8275000000000001,-0.08
1.88125,-0.12
1.935,-0.08
1.98875,-0.08
2.0425,-0.08
2.09625,-0.08
2.15,-0.08
2.20375,-0.08
2.2575,-0.08
2.3112500000000002,-0.08
2.365,-0.08
2.41875,-0.12
2.4725,-0.08
2.52625,-0.12
2.58,-0.08
2.63375,-0.12
2.6875,-0.12
2.74125,-0.08
2.795,-0.08
2.84875,-0.08
2.9025,-0.08
2.9562500000000003,-0.08
3.0100000000000002,-0.12
3.06375,-0.08
3.1175,-0.08
3.17125,-0.12
3.225,-0.08
3.27875,-0.12
3.3325,-0.08
3.38625,-0.08
3.44,-0.12
3.49375,-0.08
3.5475,-0.08
3.6012500000000003,-0.12
3.6550000000000002,-0.08
3.70875,-0.16
3.7625,-0.08
3.81625,-0.08
3.87,-0.08
3.92375,-0.08
3.9775,-0.12
4.03125,-0.08
4.085,-0.08
4.13875,-0.12
4.1925,-0.08
4.24625,-0.08
4.3,-0.12
4.35375,-0.12
4.4075,-0.12
4.46125,-0.08
4.515,-0.08
4.5687500000000005,-0.08
4.6225000000000005,-0.12
4.6762500000000005,-0.12
4.73,-0.12
4.78375,-0.12
4.8375,-0.08
4.89125,-0.12
4.945,-0.08
4.99875,-0.08
5.0525,-0.12
5.10625,0.0
5.16,0.16
5.21375,0.4
5.2675,0.56
5.32125,0.8
5.375,0.88
5.42875,0.96
5.4825,1.08
5.53625,1.2
5.59,1.2
5.64375,1.32
5.6975,1.4
5.75125,1.48
5.805,1.52
5.85875,1.64
5.9125000000000005,1.64
5.9662500000000005,1.64
6.0200000000000005,1.72
6.07375,1.76
6.1275,1.84
6.18125,1.8
6.235,1.88
6.28875,1.84
6.3425,1.76
6.39625,1.8
6.45,1.72
6.50375,1.72
6.5575,1.72
6.61125,1.72
6.665,1.72
6.71875,1.72
6.7725,1.76
6.82625,1.72
6.88,1.68
6.93375,1.6
6.9875,1.6
7.04125,1.56
7.095,1.52
7.14875,1.52
7.202500000000001,1.52
7.2562500000000005,1.44
7.3100000000000005,1.44
7.3637500000000005,1.4
7.4175,1.4
7.47125,1.4
7.525,1.4
7.57875,1.44
7.6325,1.36
7.68625,1.32
7.74,1.36
7.79375,1.28
7.8475,1.24
7.90125,1.24
7.955,1.2
8.008750000000001,1.2
8.0625,1.2
8.11625,1.16
8.17,1.12
8.22375,1.08
8.2775,1.08
8.33125,1.08
8.385,1.04
8.43875,1.0
8.4925,1.0
8.54625,1.0
8.6,0.96
8.65375,0.96
8.7075,0.92
8.76125,0.88
8.815,0.88
8.86875,0.84
8.9225,0.72
8.97625,0.72
9.03,0.52
9.08375,0.44
9.137500000000001,0.36
9.19125,0.36
9.245000000000001,0.32
9.29875,0.32
9.352500000000001,0.36
9.40625,0.28
9.46,0.24
9.51375,0.24
9.5675,0.16
